date,premise_code,item_code,price,premise,address,premise_type,state,district
2023-03-01,183,1,9.39,GIANT SUPERMARKET KELANA JAYA,"JALAN SS 6/3,PUSAT BANDAR KELANA JAYA,47301 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-01,330,1,7.99,TESCO SEKSYEN 13,"NO. 3,JALAN AEROBIK 13/43, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Hypermarket,Selangor,Petaling
2023-03-01,3041,1,9.39,PASARAYA ECONSAVE KAPAR SDN BHD,"14-22,JALAN RAJA MOKHTAR PEKAN KAPAR,44220 KAPAR, SELANGOR",Pasar Raya / Supermarket,Selangor,Klang
2023-03-01,3178,1,9.39,AEON BIG SUBANG JAYA,"NO 3 JALAN SS16/1,47500 SUBANG JAYA, SELANGOR DARUL EHSAN,",Hypermarket,Selangor,Petaling
2023-03-01,3302,1,9.4,PASAR SELAYANG BARU,"PASAR HARIAN SELAYANG BARU,JALAN BESAR SELAYANG BARU,68100 BATU CAVES, SELANGOR.",Pasar Basah ,Selangor,Gombak
2023-03-01,3318,1,9.4,GIANT BATU CAVES,"GCH RETAIL MALAYSIA SDN BHD (667035-P)LOT 10243,JALAN BATU CAVES, BANDAR SELAYANG, DAERAH GOMBAK,68100 SELANGOR",Hypermarket,Selangor,Gombak
2023-03-01,3399,1,9.4,PASAR BESAR JALAN OTHMAN,"JALAN OTHMAN,PJS 4,46000 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-01,3541,1,9.4,PASAR PAGI SRI GOMBAK,"JALAN 1, TAMAN SRI GOMBAK,68100 BATU CAVES, SELANGOR,",Pasar Basah ,Selangor,Gombak
2023-03-01,3558,1,9.4,PASAR AWAM PASIR PENAMBANG,"PEKAN PASIR PENAMBANG,45000 KUALA SELANGOR, SELANGOR,",Pasar Basah ,Selangor,Kuala Selangor
2023-03-01,3575,1,9.4,PASAR AWAM TANJUNG KARANG,"PASAR AWAM TANJUNG KARANG TANJUNG,45500 TANJUNG KARANG, SELANGOR,",Pasar Basah ,Selangor,Kuala Selangor
2023-03-01,3662,1,9.4,PASAR AWAM SG BESAR,"PASAR AWAM SG BESAR,45300 SG BESAR,SELANGOR,SG BESAR,",Pasar Basah ,Selangor,Sabak Bernam
2023-03-01,3692,1,9.4,PASAR SERI SETIA,"JALAN SS9A/1,SG WAY,47300 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-01,3901,1,7.99,LOTUSS STORES,"LOTUSS STORES (MALAYSIA) SDN.BHD. LOT 37820 & 11196,MUKIM KAJANG, SAUJANA IMPIAN,43000 KAJANG, SELANGOR DARUL EHSAN.",Hypermarket,Selangor,Hulu Langat
2023-03-01,3904,1,9.4,AEON BIG KAPAR,"NO. 2, JALAN HARMONI 3,KU3, SUNGAI PINANG,42100 KLANG,SELANGOR DARUL EHSAN",Hypermarket,Selangor,Klang
2023-03-01,3908,1,9.4,PASAR KAMPUNG MELAYU SUBANG,"KAMPUNG MELAYU SUBANG,PERSIARAN LAPANGAN TERBANG SULTAN ABDUL AZIZ SHAH,40000 SUBANG, SELANGOR",Pasar Basah ,Selangor,Petaling
2023-03-01,3909,1,7.99,TESCO SETIA ALAM,"NO. 2 JLN SETIA PRIMA U13/S ,40170 SHAH ALAM, SELANGOR DARUL EHSAN,",Hypermarket,Selangor,Klang
2023-03-01,4069,1,9.4,PASAR  BANGI,"PASAR BASAH BANGI,JALAN 1/1, SEKSYEN 1,43650 BANDAR BARU BANGI, SELANGOR",Pasar Basah ,Selangor,Hulu Langat
2023-03-01,4195,1,9.4,PASAR KAJANG,"PASAR KAJANG,BANDAR KAJANG,43000 KAJANG, SELANGOR",Pasar Basah ,Selangor,Hulu Langat
2023-03-01,4197,1,9.4,PASAR SEMENYIH,"PEKAN SEMENYIH,43500 SEMENYIH, SELANGOR,",Pasar Basah ,Selangor,Hulu Langat
2023-03-01,5179,1,9.39,MYDIN SELAYANG,"NO 10-16, JALAN SU/12,SELAYANG UTAMA,68100 BATU CAVES, SELANGOR.",Hypermarket,Selangor,Gombak
2023-03-01,5257,1,9.4,PASAR SEKSYEN 16,"PASAR SEKSYEN 16,40000 SHAH ALAM, SELANGOR,",Pasar Basah ,Selangor,Petaling
2023-03-01,5274,1,9.39,MYDIN USJ,"LOT 4,5,6,PERSIARAN PERPADUAN USJ 1,47600 SUBANG JAYA, SELANGOR",Hypermarket,Selangor,Petaling
2023-03-01,5274,2,10.4,MYDIN USJ,"LOT 4,5,6,PERSIARAN PERPADUAN USJ 1,47600 SUBANG JAYA, SELANGOR",Hypermarket,Selangor,Petaling
2023-03-01,5414,1,9.39,ECONSAVE KG MELAYU SUBANG,"LOT 3761, JALAN 2D,KG BARU SUBANG,40510 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
2023-03-01,5532,1,9.4,PASAR BESAR PELABUHAN KLANG,"JALAN SUNGAI AUR,KAWASAN 13,42000 PELABUHAN KLANG, SELANGOR",Pasar Basah ,Selangor,Klang
2023-03-01,5823,1,9.39,PASARAYA HERO SEK 13,"HERO SEKSYEN 13HERO DISTRIBUTION SDN.BHD (666770-U),NO 2, JALAN BADMINTON 13/29, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
2023-03-01,5823,2,10.39,PASARAYA HERO SEK 13,"HERO SEKSYEN 13HERO DISTRIBUTION SDN.BHD (666770-U),NO 2, JALAN BADMINTON 13/29, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
2023-03-01,5827,1,9.4,PASAR FAMA PUCHONG,"PASAR FAMA PUCHONG,BATU 13,47100 PUCHONG, SELANGOR",Pasar Basah ,Selangor,Petaling
2023-03-01,5895,1,9.29,GIANT SEKSYEN 13,"LOT 2,PERSIARAN SUKAN SEKSYEN 13,40100 SHAH ALAM, SELANGOR DARUL EHSAN.",Hypermarket,Selangor,Petaling
2023-03-01,5980,2,10.4,PASAR SS 15 SUBANG JAYA,"SS 15,47500 SUBANG JAYA, SELANGOR,",Pasar Basah ,Selangor,Petaling
2023-03-01,6525,1,9.39,GIANT BUKIT TINGGI,"LOT 83191 & 8392,PERSIRAN BATU NILAM, BANDAR BUKIT TINGGI 1, JALAN LANGAT,41200 KLANG, SELANGOR DARUL EHSAN",Hypermarket,Selangor,Klang
2023-03-01,6525,2,10.39,GIANT BUKIT TINGGI,"LOT 83191 & 8392,PERSIRAN BATU NILAM, BANDAR BUKIT TINGGI 1, JALAN LANGAT,41200 KLANG, SELANGOR DARUL EHSAN",Hypermarket,Selangor,Klang
2023-03-01,6941,1,9.4,PASAR BASAH SEKSYEN 6,"PASAR SEKSYEN 6,SEKSYEN  6,40000 SHAH ALAM, SELANGOR",Pasar Basah ,Selangor,Petaling
2023-03-01,7040,1,7.99,TESCO BUKIT TINGGI,"NO. 1 BATU 2 1/2,JALAN LANGAT,41200 KLANG, SELANGOR",Hypermarket,Selangor,Klang
2023-03-01,7283,1,9.4,PASAR AWAM BANTING,"PASAR BANTING,PERSIARAN,42700 BANTING, SELANGOR",Pasar Basah ,Selangor,Kuala Langat
2023-03-01,7472,1,9.4,PASAR MERU KLANG,"JALAN MERU KLANG,40150 KLANG, SELANGOR,",Pasar Basah ,Selangor,Klang
2023-03-01,7473,1,9.4,PASAR BASAH KAPAR,"PEKAN KAPAR KLANG,42200 KAPAR, SELANGOR,",Pasar Basah ,Selangor,Klang
2023-03-01,8614,1,9.4,PASAR AWAM DENGKIL,"PEKAN DENGKIL,43800 DENGKIL, SELANGOR,",Pasar Basah ,Selangor,Sepang
2023-03-01,9214,1,9.4,GIANT HYPERMARKET KOTA DAMANSARA,"NO 16, JALAN PJU 5/1,KOTA DAMANSARA, PJU 5,47810 PETALING JAYA",Hypermarket,Selangor,Petaling Jaya
2023-03-01,9548,1,9.4,ONG THAI KIM (OTK),"C-01, 01, JALAN PRIMA 5/1,TAMAN PUCHONG PRIMA,47100 PUCHONG, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
2023-03-01,10203,1,9.39,ECONSAVE KOTA KEMUNING,"NO 2, PT 45233, JALAN SUNGAI KERANJI M32/M,SEKSYEN 32,40640 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
2023-03-01,11136,1,9.4,PASARAYA GRAND UNION BUKIT BERUNTUNG,"NO 1 JALAN KEMUNTING,BANDAR BUKIT BERUNTUNG,48300 RAWANG, SELANGOR",Pasar Raya / Supermarket,Selangor,Hulu Selangor
2023-03-01,11595,1,9.4,PASAR AWAM SALAK,"PEKAN SALAK,43900 SEPANG, SELANGOR,",Pasar Basah ,Selangor,Sepang
2023-03-01,11631,1,9.4,PASAR AWAM KUALA KUBU BHARU,"JALAN DATO MUDA JAAFAR,44000 KUALA KUBU BARU, SELANGOR,",Pasar Basah ,Selangor,Hulu Selangor
2023-03-01,11829,1,9.4,PASAR BUKIT SENTOSA,"JALAN ORKID 2,BUKIT SENTOSA,48000 RAWANG, SELANGOR",Pasar Basah ,Selangor,Hulu Selangor
2023-03-01,13526,1,9.39,GIANT SUPERMARKET SRI MANJA,"NO. 1, JLN PJS 3/61,TAMAN SRI MANJA,46000 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-01,14661,1,9.39,AEON BIG SEKSYEN 23,"SEKSYEN 23,40300 SHAH ALAM, SELANGOR.,",Hypermarket,Selangor,Petaling
2023-03-01,14661,2,10.4,AEON BIG SEKSYEN 23,"SEKSYEN 23,40300 SHAH ALAM, SELANGOR.,",Hypermarket,Selangor,Petaling
