date,premise_code,item_code,price,premise,address,premise_type,state,district
2023-03-01,183,16,4.9,GIANT SUPERMARKET KELANA JAYA,"JALAN SS 6/3,PUSAT BANDAR KELANA JAYA,47301 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-01,183,21,6.0,GIANT SUPERMARKET KELANA JAYA,"JALAN SS 6/3,PUSAT BANDAR KELANA JAYA,47301 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-01,183,24,6.3,GIANT SUPERMARKET KELANA JAYA,"JALAN SS 6/3,PUSAT BANDAR KELANA JAYA,47301 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-01,183,25,2.85,GIANT SUPERMARKET KELANA JAYA,"JALAN SS 6/3,PUSAT BANDAR KELANA JAYA,47301 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-01,183,39,11.0,GIANT SUPERMARKET KELANA JAYA,"JALAN SS 6/3,PUSAT BANDAR KELANA JAYA,47301 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-01,330,18,6.49,TESCO SEKSYEN 13,"NO. 3,JALAN AEROBIK 13/43, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Hypermarket,Selangor,Petaling
2023-03-01,330,19,5.89,TESCO SEKSYEN 13,"NO. 3,JALAN AEROBIK 13/43, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Hypermarket,Selangor,Petaling
2023-03-01,330,21,4.99,TESCO SEKSYEN 13,"NO. 3,JALAN AEROBIK 13/43, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Hypermarket,Selangor,Petaling
2023-03-01,330,25,3.89,TESCO SEKSYEN 13,"NO. 3,JALAN AEROBIK 13/43, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Hypermarket,Selangor,Petaling
2023-03-01,330,27,18.99,TESCO SEKSYEN 13,"NO. 3,JALAN AEROBIK 13/43, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Hypermarket,Selangor,Petaling
2023-03-01,3041,16,5.99,PASARAYA ECONSAVE KAPAR SDN BHD,"14-22,JALAN RAJA MOKHTAR PEKAN KAPAR,44220 KAPAR, SELANGOR",Pasar Raya / Supermarket,Selangor,Klang
2023-03-01,3041,18,6.99,PASARAYA ECONSAVE KAPAR SDN BHD,"14-22,JALAN RAJA MOKHTAR PEKAN KAPAR,44220 KAPAR, SELANGOR",Pasar Raya / Supermarket,Selangor,Klang
2023-03-01,3041,19,5.89,PASARAYA ECONSAVE KAPAR SDN BHD,"14-22,JALAN RAJA MOKHTAR PEKAN KAPAR,44220 KAPAR, SELANGOR",Pasar Raya / Supermarket,Selangor,Klang
2023-03-01,3041,21,4.79,PASARAYA ECONSAVE KAPAR SDN BHD,"14-22,JALAN RAJA MOKHTAR PEKAN KAPAR,44220 KAPAR, SELANGOR",Pasar Raya / Supermarket,Selangor,Klang
2023-03-01,3041,24,6.99,PASARAYA ECONSAVE KAPAR SDN BHD,"14-22,JALAN RAJA MOKHTAR PEKAN KAPAR,44220 KAPAR, SELANGOR",Pasar Raya / Supermarket,Selangor,Klang
2023-03-01,3041,25,3.59,PASARAYA ECONSAVE KAPAR SDN BHD,"14-22,JALAN RAJA MOKHTAR PEKAN KAPAR,44220 KAPAR, SELANGOR",Pasar Raya / Supermarket,Selangor,Klang
2023-03-01,3041,38,5.99,PASARAYA ECONSAVE KAPAR SDN BHD,"14-22,JALAN RAJA MOKHTAR PEKAN KAPAR,44220 KAPAR, SELANGOR",Pasar Raya / Supermarket,Selangor,Klang
2023-03-01,3041,39,8.59,PASARAYA ECONSAVE KAPAR SDN BHD,"14-22,JALAN RAJA MOKHTAR PEKAN KAPAR,44220 KAPAR, SELANGOR",Pasar Raya / Supermarket,Selangor,Klang
2023-03-01,3178,16,7.6,AEON BIG SUBANG JAYA,"NO 3 JALAN SS16/1,47500 SUBANG JAYA, SELANGOR DARUL EHSAN,",Hypermarket,Selangor,Petaling
2023-03-01,3178,18,8.5,AEON BIG SUBANG JAYA,"NO 3 JALAN SS16/1,47500 SUBANG JAYA, SELANGOR DARUL EHSAN,",Hypermarket,Selangor,Petaling
2023-03-01,3178,19,8.7,AEON BIG SUBANG JAYA,"NO 3 JALAN SS16/1,47500 SUBANG JAYA, SELANGOR DARUL EHSAN,",Hypermarket,Selangor,Petaling
2023-03-01,3178,21,6.7,AEON BIG SUBANG JAYA,"NO 3 JALAN SS16/1,47500 SUBANG JAYA, SELANGOR DARUL EHSAN,",Hypermarket,Selangor,Petaling
2023-03-01,3178,24,9.5,AEON BIG SUBANG JAYA,"NO 3 JALAN SS16/1,47500 SUBANG JAYA, SELANGOR DARUL EHSAN,",Hypermarket,Selangor,Petaling
2023-03-01,3178,25,4.95,AEON BIG SUBANG JAYA,"NO 3 JALAN SS16/1,47500 SUBANG JAYA, SELANGOR DARUL EHSAN,",Hypermarket,Selangor,Petaling
2023-03-01,3302,16,6.0,PASAR SELAYANG BARU,"PASAR HARIAN SELAYANG BARU,JALAN BESAR SELAYANG BARU,68100 BATU CAVES, SELANGOR.",Pasar Basah ,Selangor,Gombak
2023-03-01,3302,18,7.0,PASAR SELAYANG BARU,"PASAR HARIAN SELAYANG BARU,JALAN BESAR SELAYANG BARU,68100 BATU CAVES, SELANGOR.",Pasar Basah ,Selangor,Gombak
2023-03-01,3302,19,6.5,PASAR SELAYANG BARU,"PASAR HARIAN SELAYANG BARU,JALAN BESAR SELAYANG BARU,68100 BATU CAVES, SELANGOR.",Pasar Basah ,Selangor,Gombak
2023-03-01,3302,25,5.5,PASAR SELAYANG BARU,"PASAR HARIAN SELAYANG BARU,JALAN BESAR SELAYANG BARU,68100 BATU CAVES, SELANGOR.",Pasar Basah ,Selangor,Gombak
2023-03-01,3302,27,15.0,PASAR SELAYANG BARU,"PASAR HARIAN SELAYANG BARU,JALAN BESAR SELAYANG BARU,68100 BATU CAVES, SELANGOR.",Pasar Basah ,Selangor,Gombak
2023-03-01,3302,38,6.0,PASAR SELAYANG BARU,"PASAR HARIAN SELAYANG BARU,JALAN BESAR SELAYANG BARU,68100 BATU CAVES, SELANGOR.",Pasar Basah ,Selangor,Gombak
2023-03-01,3302,39,8.0,PASAR SELAYANG BARU,"PASAR HARIAN SELAYANG BARU,JALAN BESAR SELAYANG BARU,68100 BATU CAVES, SELANGOR.",Pasar Basah ,Selangor,Gombak
2023-03-01,3318,16,4.9,GIANT BATU CAVES,"GCH RETAIL MALAYSIA SDN BHD (667035-P)LOT 10243,JALAN BATU CAVES, BANDAR SELAYANG, DAERAH GOMBAK,68100 SELANGOR",Hypermarket,Selangor,Gombak
2023-03-01,3318,18,6.5,GIANT BATU CAVES,"GCH RETAIL MALAYSIA SDN BHD (667035-P)LOT 10243,JALAN BATU CAVES, BANDAR SELAYANG, DAERAH GOMBAK,68100 SELANGOR",Hypermarket,Selangor,Gombak
2023-03-01,3318,19,5.9,GIANT BATU CAVES,"GCH RETAIL MALAYSIA SDN BHD (667035-P)LOT 10243,JALAN BATU CAVES, BANDAR SELAYANG, DAERAH GOMBAK,68100 SELANGOR",Hypermarket,Selangor,Gombak
2023-03-01,3318,21,4.99,GIANT BATU CAVES,"GCH RETAIL MALAYSIA SDN BHD (667035-P)LOT 10243,JALAN BATU CAVES, BANDAR SELAYANG, DAERAH GOMBAK,68100 SELANGOR",Hypermarket,Selangor,Gombak
2023-03-01,3318,24,6.3,GIANT BATU CAVES,"GCH RETAIL MALAYSIA SDN BHD (667035-P)LOT 10243,JALAN BATU CAVES, BANDAR SELAYANG, DAERAH GOMBAK,68100 SELANGOR",Hypermarket,Selangor,Gombak
2023-03-01,3318,25,2.85,GIANT BATU CAVES,"GCH RETAIL MALAYSIA SDN BHD (667035-P)LOT 10243,JALAN BATU CAVES, BANDAR SELAYANG, DAERAH GOMBAK,68100 SELANGOR",Hypermarket,Selangor,Gombak
2023-03-01,3318,38,7.0,GIANT BATU CAVES,"GCH RETAIL MALAYSIA SDN BHD (667035-P)LOT 10243,JALAN BATU CAVES, BANDAR SELAYANG, DAERAH GOMBAK,68100 SELANGOR",Hypermarket,Selangor,Gombak
2023-03-01,3318,39,11.0,GIANT BATU CAVES,"GCH RETAIL MALAYSIA SDN BHD (667035-P)LOT 10243,JALAN BATU CAVES, BANDAR SELAYANG, DAERAH GOMBAK,68100 SELANGOR",Hypermarket,Selangor,Gombak
2023-03-01,3399,16,5.5,PASAR BESAR JALAN OTHMAN,"JALAN OTHMAN,PJS 4,46000 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-01,3399,18,6.0,PASAR BESAR JALAN OTHMAN,"JALAN OTHMAN,PJS 4,46000 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-01,3399,19,6.5,PASAR BESAR JALAN OTHMAN,"JALAN OTHMAN,PJS 4,46000 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-01,3399,21,4.5,PASAR BESAR JALAN OTHMAN,"JALAN OTHMAN,PJS 4,46000 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-01,3399,22,10.0,PASAR BESAR JALAN OTHMAN,"JALAN OTHMAN,PJS 4,46000 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-01,3399,24,7.0,PASAR BESAR JALAN OTHMAN,"JALAN OTHMAN,PJS 4,46000 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-01,3399,25,4.0,PASAR BESAR JALAN OTHMAN,"JALAN OTHMAN,PJS 4,46000 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-01,3399,38,8.0,PASAR BESAR JALAN OTHMAN,"JALAN OTHMAN,PJS 4,46000 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-01,3399,39,12.0,PASAR BESAR JALAN OTHMAN,"JALAN OTHMAN,PJS 4,46000 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-01,3541,18,6.0,PASAR PAGI SRI GOMBAK,"JALAN 1, TAMAN SRI GOMBAK,68100 BATU CAVES, SELANGOR,",Pasar Basah ,Selangor,Gombak
2023-03-01,3541,19,6.0,PASAR PAGI SRI GOMBAK,"JALAN 1, TAMAN SRI GOMBAK,68100 BATU CAVES, SELANGOR,",Pasar Basah ,Selangor,Gombak
2023-03-01,3541,20,6.0,PASAR PAGI SRI GOMBAK,"JALAN 1, TAMAN SRI GOMBAK,68100 BATU CAVES, SELANGOR,",Pasar Basah ,Selangor,Gombak
2023-03-01,3541,25,5.0,PASAR PAGI SRI GOMBAK,"JALAN 1, TAMAN SRI GOMBAK,68100 BATU CAVES, SELANGOR,",Pasar Basah ,Selangor,Gombak
2023-03-01,3541,38,8.5,PASAR PAGI SRI GOMBAK,"JALAN 1, TAMAN SRI GOMBAK,68100 BATU CAVES, SELANGOR,",Pasar Basah ,Selangor,Gombak
2023-03-01,3558,22,12.0,PASAR AWAM PASIR PENAMBANG,"PEKAN PASIR PENAMBANG,45000 KUALA SELANGOR, SELANGOR,",Pasar Basah ,Selangor,Kuala Selangor
2023-03-01,3558,25,5.0,PASAR AWAM PASIR PENAMBANG,"PEKAN PASIR PENAMBANG,45000 KUALA SELANGOR, SELANGOR,",Pasar Basah ,Selangor,Kuala Selangor
2023-03-01,3575,21,5.5,PASAR AWAM TANJUNG KARANG,"PASAR AWAM TANJUNG KARANG TANJUNG,45500 TANJUNG KARANG, SELANGOR,",Pasar Basah ,Selangor,Kuala Selangor
2023-03-01,3575,25,5.0,PASAR AWAM TANJUNG KARANG,"PASAR AWAM TANJUNG KARANG TANJUNG,45500 TANJUNG KARANG, SELANGOR,",Pasar Basah ,Selangor,Kuala Selangor
