date,premise_code,item_code,price
1/3/2022,2,1,8.9
1/3/2022,3,2,9.9
1/3/2022,136,1,8.9
1/3/2022,176,1,7.99
1/3/2022,183,1,8.9
1/3/2022,234,2,11.5
1/3/2022,322,1,8.9
1/3/2022,330,1,7.99
1/3/2022,361,1,9.3
1/3/2022,380,1,8.9
1/3/2022,382,1,8.3
1/3/2022,424,1,8.9
1/3/2022,429,1,8.9
1/3/2022,431,1,8.9
1/3/2022,433,1,8.9
1/3/2022,434,1,8.9
1/3/2022,435,1,8.9
1/3/2022,438,1,8.9
1/3/2022,439,1,8.9
1/3/2022,480,1,8.5
1/3/2022,506,1,8.9
1/3/2022,506,2,9.9
1/3/2022,524,1,8.9
1/3/2022,527,1,8.4
1/3/2022,529,1,8.9
1/3/2022,569,1,8.9
1/3/2022,585,1,8.9
1/3/2022,587,1,8.49
1/3/2022,588,1,8.49
1/3/2022,589,1,8.9
1/3/2022,589,2,9.9
1/3/2022,591,1,7.99
1/3/2022,599,1,8.9
1/3/2022,600,1,8.9
1/3/2022,605,1,8.9
1/3/2022,633,1,10.8
1/3/2022,633,2,11.8
1/3/2022,720,1,8.9
1/3/2022,725,1,8.9
1/3/2022,729,1,8.49
1/3/2022,729,2,9.5
1/3/2022,754,2,10.29
1/3/2022,758,2,10.3
1/3/2022,766,1,8.9
1/3/2022,777,1,8.9
1/3/2022,834,2,11.5
1/3/2022,864,1,8.79
1/3/2022,930,1,8.69
1/3/2022,942,1,8.9
1/3/2022,955,1,8.9
1/3/2022,1032,1,8.9
1/3/2022,1043,1,8.9
1/3/2022,1046,1,8.9
1/3/2022,1053,1,8.9
1/3/2022,1054,1,8.79
1/3/2022,1117,1,8.9
1/3/2022,1117,2,9.9
1/3/2022,1121,1,8.7
1/3/2022,1133,1,8.9
1/3/2022,1135,1,8.79
1/3/2022,1137,1,8.69
1/3/2022,1139,1,8.9
1/3/2022,1152,1,8.89
1/3/2022,1157,1,8.69
1/3/2022,1204,1,8.9
1/3/2022,1209,1,8.9
1/3/2022,1211,1,8.9
1/3/2022,1259,1,8.69
1/3/2022,1262,1,8.49
1/3/2022,1263,1,8.69
1/3/2022,1267,1,8.9
1/3/2022,1284,1,8.9
1/3/2022,1324,1,8.9
1/3/2022,1325,1,8.6
1/3/2022,1361,1,8.9
1/3/2022,1407,1,8.9
1/3/2022,1517,1,8.9
1/3/2022,1527,1,8.39
1/3/2022,1634,1,8.9
1/3/2022,1713,1,8.9
1/3/2022,1714,1,8.9
1/3/2022,1734,1,9.3
1/3/2022,1737,1,7.99
1/3/2022,1775,1,8.9
1/3/2022,1815,1,10.8
1/3/2022,1826,1,8.9
1/3/2022,1869,2,11.5
1/3/2022,1960,1,8.9
1/3/2022,1961,1,8.9
1/3/2022,1962,1,8.59
1/3/2022,1972,1,8.9
1/3/2022,1980,1,8.9
1/3/2022,2007,1,8.8
1/3/2022,2028,1,8.9
1/3/2022,2028,2,9.9
1/3/2022,2034,1,7.99
1/3/2022,2048,1,8.9
1/3/2022,2062,1,8.9
1/3/2022,2109,2,11.5
1/3/2022,2158,1,8.9
1/3/2022,2161,1,8.9
1/3/2022,2161,2,9.9
1/3/2022,2190,1,8.9
1/3/2022,2190,2,9.9
1/3/2022,2213,1,8.9
1/3/2022,2222,1,8.9
1/3/2022,2230,2,10.9
1/3/2022,2280,2,9.9
1/3/2022,2450,2,10.99
1/3/2022,2507,2,11.3
1/3/2022,2517,2,11.5
1/3/2022,2530,1,8.9
1/3/2022,2530,3,8.1
1/3/2022,2554,2,10.5
1/3/2022,2560,1,8.69
1/3/2022,2617,2,11.5
1/3/2022,2623,1,10.8
1/3/2022,2629,2,10.3
1/3/2022,2641,1,10.8
1/3/2022,2671,1,7.99
1/3/2022,2772,1,8.6
1/3/2022,2775,1,8.9
1/3/2022,2838,1,8.89
1/3/2022,2879,2,9.8
1/3/2022,2917,1,8.9
1/3/2022,2983,1,8.9
1/3/2022,2983,2,9.9
1/3/2022,3003,2,9.9
1/3/2022,3024,1,8.9
1/3/2022,3041,1,8.69
1/3/2022,3066,1,10.8
1/3/2022,3066,2,11.8
1/3/2022,3078,1,8.9
1/3/2022,3103,1,8.89
1/3/2022,3150,1,8.9
1/3/2022,3178,1,8.9
1/3/2022,3181,1,8.9
1/3/2022,3181,3,8.5
1/3/2022,3195,1,8.9
1/3/2022,3204,1,8.9
1/3/2022,3211,1,8.9
1/3/2022,3214,1,9.2
1/3/2022,3214,2,9.9
1/3/2022,3302,1,8.9
1/3/2022,3305,1,8.9
1/3/2022,3318,1,8.9
1/3/2022,3336,1,8.9
1/3/2022,3339,1,8.9
1/3/2022,3344,1,8.9
1/3/2022,3346,1,8.9
1/3/2022,3359,1,8.9
1/3/2022,3383,1,8.9
1/3/2022,3399,1,8.9
1/3/2022,3436,1,8.9
1/3/2022,3438,1,8.9
1/3/2022,3444,1,8.9
1/3/2022,3448,1,8.9
1/3/2022,3517,1,8.9
1/3/2022,3531,2,10.8
1/3/2022,3541,1,8.9
1/3/2022,3558,1,8.9
1/3/2022,3575,1,8.9
1/3/2022,3587,1,8.9
1/3/2022,3588,1,8.9
1/3/2022,3662,1,8.9
1/3/2022,3692,1,8.9
1/3/2022,3702,2,11.5
1/3/2022,3838,2,9.5
1/3/2022,3845,2,10.95
1/3/2022,3901,1,7.99
1/3/2022,3904,1,8.9
1/3/2022,3908,1,8.9
1/3/2022,3909,1,7.99
1/3/2022,3984,1,8.29
1/3/2022,4057,1,8.9
1/3/2022,4069,1,8.9
1/3/2022,4083,1,8.9
1/3/2022,4097,1,8.9
1/3/2022,4097,3,8.5
1/3/2022,4118,1,8.9
1/3/2022,4195,1,8.9
1/3/2022,4197,1,8.9
1/3/2022,4203,1,8.9
1/3/2022,4205,1,8.9
1/3/2022,4231,1,8.9
1/3/2022,4296,1,8.9
1/3/2022,4302,2,10.5
1/3/2022,4304,1,8.9
1/3/2022,4313,2,11
1/3/2022,4315,1,8.9
1/3/2022,4324,1,8.7
1/3/2022,4337,1,8.9
1/3/2022,4387,1,8.9
1/3/2022,4470,1,8.5
1/3/2022,4473,1,8.9
1/3/2022,4496,1,8.9
1/3/2022,4501,1,8.9
1/3/2022,4505,1,8.9
1/3/2022,4507,1,8.9
1/3/2022,4511,1,8.9
1/3/2022,4530,1,8.69
1/3/2022,4547,1,8.9
1/3/2022,4573,1,8.9
1/3/2022,4593,1,8.9
1/3/2022,4633,1,8.9
1/3/2022,4667,2,13.2
1/3/2022,4767,1,8.9
1/3/2022,4970,1,8.9
1/3/2022,5086,1,8.9
1/3/2022,5093,1,8.9
1/3/2022,5137,1,8.79
1/3/2022,5137,2,9.89
1/3/2022,5179,1,8.9
1/3/2022,5190,1,8.9
1/3/2022,5218,2,9.9
1/3/2022,5219,1,8.95
1/3/2022,5221,1,8.9
1/3/2022,5250,1,8.9
1/3/2022,5257,1,8.9
1/3/2022,5274,1,8.9
1/3/2022,5278,1,8.9
1/3/2022,5302,1,8.9
1/3/2022,5309,1,8.29
1/3/2022,5311,1,8.9
1/3/2022,5325,1,7.99
1/3/2022,5348,1,9.3
1/3/2022,5355,1,8.9
1/3/2022,5360,1,8.9
1/3/2022,5379,2,10.3
1/3/2022,5414,1,8.69
1/3/2022,5416,1,8.9
1/3/2022,5433,1,8.89
1/3/2022,5434,1,8.9
1/3/2022,5448,1,8.9
1/3/2022,5456,1,8.9
1/3/2022,5532,1,8.9
1/3/2022,5678,2,10.2
1/3/2022,5816,1,8.9
1/3/2022,5823,1,8.79
1/3/2022,5827,1,8.9
1/3/2022,5836,1,8.9
1/3/2022,5838,1,8.9
1/3/2022,5857,1,7.99
1/3/2022,5870,1,8.39
1/3/2022,5880,1,8.9
1/3/2022,5895,1,8.9
1/3/2022,5897,1,8.9
1/3/2022,5980,1,8.9
1/3/2022,6039,1,7.99
1/3/2022,6177,2,10.29
1/3/2022,6206,1,9.3
1/3/2022,6525,1,8.9
1/3/2022,6574,1,8.9
1/3/2022,6609,1,7.99
1/3/2022,6931,1,8.9
1/3/2022,6941,1,8.9
1/3/2022,7008,2,9.5
1/3/2022,7014,1,8.9
1/3/2022,7040,1,7.99
1/3/2022,7280,1,8.9
1/3/2022,7283,1,8.9
1/3/2022,7349,1,8.5
1/3/2022,7472,1,8.9
1/3/2022,7473,1,8.9
1/3/2022,7961,1,8.9
1/3/2022,7995,1,8.9
1/3/2022,7995,2,9.9
1/3/2022,8199,1,8.49
1/3/2022,8582,1,8.9
1/3/2022,8614,1,8.9
1/3/2022,8616,1,8.9
1/3/2022,8616,3,8.8
1/3/2022,8678,1,8.9
1/3/2022,8757,1,8.9
1/3/2022,9102,1,8.69
1/3/2022,9214,1,8.9
1/3/2022,9241,1,8.9
1/3/2022,9548,1,8.9
1/3/2022,9787,1,8.9
1/3/2022,9787,2,9.9
1/3/2022,9871,1,8.9
1/3/2022,9933,2,11.5
1/3/2022,9944,1,8.9
1/3/2022,10131,1,8.59
1/3/2022,10197,1,8.9
1/3/2022,10203,1,8.69
1/3/2022,10214,1,8.79
1/3/2022,10720,2,11.19
1/3/2022,10750,2,11.5
1/3/2022,10850,1,8.9
1/3/2022,10855,1,8.9
1/3/2022,10975,1,8.89
1/3/2022,11222,1,8.9
1/3/2022,11332,2,10
1/3/2022,11423,1,8.9
1/3/2022,11479,1,8.9
1/3/2022,11518,1,7.99
1/3/2022,11523,2,10.3
1/3/2022,11524,2,9.69
1/3/2022,11536,1,8.8
1/3/2022,11537,1,9.3
1/3/2022,11537,2,10.3
1/3/2022,11538,2,11.5
1/3/2022,11540,1,8.69
1/3/2022,11543,2,11.8
1/3/2022,11545,1,8.89
1/3/2022,11551,1,8.9
1/3/2022,11564,2,9.9
1/3/2022,11566,2,9.9
1/3/2022,11567,1,8.9
1/3/2022,11569,1,8.89
1/3/2022,11571,1,8.89
1/3/2022,11571,2,9.89
1/3/2022,11572,1,8.9
1/3/2022,11572,2,9.9
1/3/2022,11580,1,8.9
1/3/2022,11581,1,8.9
1/3/2022,11586,1,8.9
1/3/2022,11595,1,8.9
1/3/2022,11616,1,8.9
1/3/2022,11617,1,8.9
1/3/2022,11618,1,8.9
1/3/2022,11619,1,8.59
1/3/2022,11623,1,8.9
1/3/2022,11624,1,8.9
1/3/2022,11627,1,7.99
1/3/2022,11631,1,8.9
1/3/2022,11632,2,11.5
1/3/2022,11652,2,9.9
1/3/2022,11655,1,8.9
1/3/2022,11656,1,8.5
1/3/2022,11669,1,7.99
1/3/2022,11677,1,8.9
1/3/2022,11703,1,8.9
1/3/2022,11711,1,10.49
1/3/2022,11726,1,10.5
1/3/2022,11727,1,10.5
1/3/2022,11747,1,10.8
1/3/2022,11750,1,8.9
1/3/2022,11750,2,9.9
1/3/2022,11753,1,8.9
1/3/2022,11786,1,8.9
1/3/2022,11793,1,8.9
1/3/2022,11829,1,8.9
1/3/2022,11893,1,8.9
1/3/2022,11956,1,8.9
1/3/2022,12000,1,8.9
1/3/2022,12002,1,8.9
1/3/2022,12024,1,8.9
1/3/2022,12025,1,8.69
1/3/2022,12027,1,8.9
1/3/2022,12028,1,8.9
1/3/2022,12165,1,8.9
1/3/2022,12307,1,8.9
1/3/2022,12352,1,7.99
1/3/2022,12742,1,8.69
1/3/2022,12743,2,9.9
1/3/2022,12745,1,8.9
1/3/2022,12755,1,8.69
1/3/2022,12761,2,11.5
1/3/2022,12762,2,11.19
1/3/2022,13081,1,8.9
1/3/2022,13119,1,8.59
1/3/2022,13120,1,8.49
1/3/2022,13526,1,8.9
1/3/2022,13715,1,8.69
